,BVP_min,BVP_max,BVP_mean,BVP_std,BVP_peak_f,TEMP_min,TEMP_max,TEMP_mean,TEMP_std,labels
0,485.0,561.0,512.4404460212874,16.848150300957123,1.8333333333333333,30.62,36.42,33.55475418144957,0.6903376917789378,1.0
1,469.0,561.0,512.2169285352255,16.986857385256414,1.8,31.58,36.42,33.54957932083122,0.6852784597236385,1.0
2,469.0,561.0,512.2204764318298,17.036637122337613,1.8,31.58,36.09,33.52872782564622,0.6887566725461635,1.0
3,469.0,561.0,512.2093258996453,16.850773096719422,1.8,30.29,36.09,33.51520527116067,0.6968159407669197,1.0
4,469.0,561.0,512.3198175367461,16.937080722927615,1.8,30.29,38.03,33.512985301571206,0.6956105190447843,1.0
5,469.0,561.0,512.2483527622909,16.850197679522473,1.8,30.29,38.03,33.50336036492651,0.6987249401430874,1.0
6,469.0,557.0,512.1394523326572,16.649742558051027,1.8,30.29,38.03,33.49405679513185,0.6945587409036589,1.0
7,469.0,557.0,512.015728056824,16.587630894601933,1.7666666666666666,30.29,38.03,33.49783358701168,0.6970808055383689,1.0
8,469.0,556.0,511.85902636916836,16.49498808204489,1.7333333333333334,30.29,38.03,33.50079614604462,0.6971079090498281,1.0
9,469.0,565.0,511.83122149011655,16.57781449547417,1.7333333333333334,30.29,38.03,33.50618347693868,0.6999651402437593,1.0
10,469.0,565.0,511.86974151039027,16.629776130245236,1.8,30.29,38.03,33.505641155600614,0.7009231503140194,1.0
11,484.0,565.0,512.3086670045616,16.728942468752486,1.8,30.29,38.03,33.51166244298024,0.7092094659019023,1.0
12,486.0,565.0,512.4151039026863,16.956259052234987,1.7666666666666666,30.29,38.03,33.51967055245819,0.7032677587494688,1.0
13,485.0,565.0,512.3073022312374,17.268021415207887,1.8,30.94,38.03,33.523549695740364,0.6983178135428183,1.0
14,485.0,565.0,512.234398782344,17.37238762105314,1.8333333333333333,30.94,38.03,33.51766615931,0.6939950790258498,1.0
15,483.0,565.0,511.817536746072,17.55478693216078,1.8,30.94,38.03,33.53385200202737,0.6864235902308815,1.0
16,483.0,565.0,511.84584178498983,17.71946013081573,1.8,31.9,38.03,33.53877281947262,0.6794028588835346,1.0
17,483.0,565.0,512.1915864166244,17.921136403338853,1.7666666666666666,31.9,38.03,33.53042067916878,0.6792959422059806,1.0
18,483.0,565.0,512.2559553978713,18.09037127093082,1.8,31.9,38.03,33.52942219969589,0.6781178242935157,1.0
19,480.0,562.0,512.0385005065856,18.056804465690043,1.8,31.9,37.71,33.52990881458967,0.6732570873897588,1.0
20,480.0,562.0,512.0065856129686,18.14137355770165,1.7666666666666666,31.9,37.71,33.534331306990886,0.6710558086251271,1.0
21,480.0,562.0,511.8267477203647,18.0306483982864,1.7666666666666666,31.9,35.13,33.5317071935157,0.6579483796836646,1.0
22,480.0,563.0,511.72036474164133,17.866595261064695,1.7666666666666666,31.58,35.13,33.52825734549139,0.6622274249271486,1.0
23,480.0,563.0,511.70552458185506,17.637031013542103,1.7333333333333334,31.58,37.38,33.530258489609736,0.6676526985244712,1.0
24,480.0,563.0,511.7886467308667,17.53187282494041,1.7666666666666666,31.58,38.35,33.53545362392297,0.6831781709695839,1.0
25,480.0,563.0,512.2117527862209,17.382164095834437,1.7666666666666666,31.58,38.35,33.52597771023303,0.6887796207423317,1.0
26,480.0,563.0,512.2245311708059,17.429742082792966,1.7666666666666666,31.58,38.35,33.51943740496706,0.6925796486585948,1.0
27,480.0,563.0,511.9229599594526,17.512011089839675,1.7666666666666666,30.94,38.35,33.51161175874303,0.6997184578001401,1.0
28,480.0,563.0,511.8996452103396,17.509141769744332,1.7666666666666666,30.94,38.35,33.5067410035479,0.7092286987897668,1.0
29,484.0,563.0,512.0395337050178,17.386649951529552,1.7666666666666666,30.94,38.35,33.495651292448045,0.712207624111394,1.0
30,484.0,565.0,512.387227572225,17.754840469824984,1.7666666666666666,30.94,38.35,33.48750633552965,0.7125957218967297,1.0
31,484.0,565.0,512.2868727825646,17.94195099422701,1.8,30.94,38.35,33.48458185504308,0.7194601523127805,1.0
32,483.0,565.0,511.95182555780934,17.973406470285887,1.7666666666666666,30.94,38.35,33.47690669371196,0.7217750860911591,1.0
33,483.0,565.0,511.92951318458415,17.897209212088256,1.7666666666666666,30.94,38.35,33.4723630831643,0.7155009768762981,1.0
34,483.0,565.0,511.8803245436105,17.928373140539243,1.7666666666666666,30.94,38.03,33.47302231237322,0.6967181118327468,1.0
35,483.0,565.0,511.75570197668526,17.97324821212082,1.8,30.94,38.03,33.473182970096296,0.6914589812801629,1.0
36,466.0,570.0,511.8686612576065,18.314006462462363,1.8333333333333333,30.94,38.03,33.48984787018256,0.6869116150572698,1.0
37,466.0,570.0,512.0162271805274,18.55237188754011,1.7666666666666666,31.26,38.03,33.504898580121704,0.6940685422985511,1.0
38,466.0,570.0,511.92853522554486,18.631378299420213,1.8,30.94,37.71,33.497227572225036,0.6852783797986842,1.0
39,466.0,570.0,512.2175456389452,18.95787839346954,1.8333333333333333,30.94,37.71,33.49478194726166,0.684413782288734,1.0
40,466.0,570.0,511.8656186612576,18.81768370881521,1.8,30.94,37.71,33.49740365111562,0.6841329570627916,1.0
41,466.0,570.0,511.8737322515213,18.65426255801263,1.8,30.94,37.71,33.48893002028397,0.6788820167488928,1.0
42,466.0,570.0,511.95638945233264,18.55008508793449,1.8,30.94,37.71,33.50100912778904,0.6721888837232939,1.0
43,466.0,570.0,512.105476673428,18.661121986526037,1.8,30.94,37.71,33.49673935091278,0.6765770738036712,1.0
44,466.0,570.0,512.1779016725799,18.693950118987125,1.8333333333333333,30.94,37.71,33.48696908261531,0.6837582113876078,1.0
45,466.0,570.0,512.0481500253421,18.821711085563777,1.8,30.94,37.71,33.480633552965024,0.687458982017686,1.0
46,482.0,563.0,511.7638114546376,18.384389270046118,1.7666666666666666,30.94,37.71,33.46611251900659,0.6913141507893015,1.0
47,482.0,563.0,512.1236695387735,18.13841061032728,1.8,30.94,35.13,33.44976685250888,0.6816525129818275,1.0
48,482.0,563.0,512.1262037506335,17.985564067907838,1.8,31.26,36.09,33.45091231626964,0.6828233646988509,1.0
49,479.0,561.0,511.76089159067885,17.684472513607567,1.7666666666666666,31.26,36.09,33.44980243161094,0.6835992010585974,1.0
50,479.0,561.0,511.88145896656533,17.5314106838765,1.8333333333333333,31.26,36.09,33.44672745694022,0.6824188737095798,1.0
51,479.0,562.0,512.0709219858156,17.7861953069851,1.7666666666666666,31.26,36.09,33.44444275582573,0.6883642057754816,1.0
52,479.0,562.0,511.9853015712114,18.009161711487,1.7666666666666666,31.26,38.03,33.43726305119108,0.6954605856589492,1.0
53,479.0,562.0,511.72833248859604,18.135874176811654,1.8,31.26,38.03,33.43041054232134,0.6912220443054713,1.0
54,479.0,562.0,511.6820486815416,18.1357366530539,1.8,31.26,38.03,33.43497464503043,0.6877612777749437,1.0
55,479.0,562.0,511.8159229208925,18.121051049305876,1.8,31.26,38.03,33.419127789046655,0.6905450092798296,1.0
56,479.0,562.0,511.977192093259,18.206333372491077,1.8333333333333333,31.26,38.03,33.405783071464775,0.6943615696661972,1.0
57,479.0,562.0,511.7156614292955,18.191307662549907,1.8333333333333333,31.26,38.03,33.40300050684237,0.6957317849079375,1.0
58,479.0,564.0,511.7597567156614,18.330000192039662,1.8333333333333333,31.26,38.03,33.40186517992905,0.6929406193141434,1.0
59,481.0,564.0,511.5935124176381,18.531509225038324,1.8666666666666667,31.26,38.03,33.39418651799291,0.6918432399334942,1.0
60,481.0,564.0,511.60618347693867,18.52960742157147,1.8666666666666667,31.26,38.03,33.38733400912316,0.6944796003178222,1.0
61,477.0,564.0,511.6046629498226,18.388494577038315,1.9,31.26,38.03,33.385686771414086,0.690278185105119,1.0
62,477.0,564.0,512.068423720223,18.35852327046751,1.8666666666666667,31.26,36.42,33.3713025848961,0.6863698907701234,1.0
63,477.0,564.0,511.93715154586926,18.35369491503889,1.8333333333333333,31.26,36.42,33.37003041054233,0.6907742511210528,1.0
64,477.0,564.0,511.7720364741641,18.643716051460558,1.8666666666666667,31.26,36.42,33.35998986828774,0.6867998761222555,1.0
65,477.0,564.0,511.53725291434364,18.83143588902321,1.8333333333333333,31.26,36.42,33.36741003547897,0.6855668895751863,1.0
66,477.0,564.0,511.6315255955398,18.97830403087738,1.8333333333333333,31.26,36.42,33.36773948302078,0.6778324682525775,1.0
67,477.0,569.0,511.8611251900659,19.173436401417135,1.7666666666666666,31.26,35.13,33.37802838317284,0.6698316636378416,1.0
68,477.0,569.0,512.0319310694374,19.435739391414636,1.7666666666666666,31.58,35.13,33.36515965534719,0.6756849408596792,1.0
69,477.0,569.0,511.9559047136341,19.527314355491324,1.7666666666666666,31.26,35.13,33.360060821084645,0.6833568381943911,1.0
70,477.0,569.0,511.6517992904207,19.781973196471128,1.7333333333333334,31.26,35.13,33.35563101875317,0.6855531588146009,1.0
71,477.0,569.0,511.76938672072987,19.765871879457734,1.7666666666666666,31.26,36.09,33.35777496198683,0.6866050073715088,1.0
72,475.0,569.0,511.64285714285717,19.94075378650736,1.7333333333333334,30.94,36.09,33.36276595744681,0.687322348746082,1.0
73,475.0,569.0,511.70719351570415,20.080839637662336,1.7666666666666666,30.94,36.09,33.365521783181364,0.6832676966927419,1.0
74,475.0,569.0,511.9133299543842,19.891492919818987,1.7666666666666666,30.94,36.09,33.36934617334009,0.6871808152898626,1.0
75,475.0,569.0,512.4419665484035,19.894990618465233,1.8,30.94,36.09,33.37231120121643,0.6850487689818868,1.0
76,475.0,569.0,512.1621895590472,19.73714308379239,1.8,30.94,36.09,33.37787633046123,0.6867971796948744,1.0
77,470.0,568.0,511.727825646224,19.594039671675255,1.8,30.94,36.09,33.37119614799797,0.6880178400451913,1.0
78,470.0,568.0,511.7652129817444,19.33800780117196,1.7666666666666666,30.94,36.09,33.37600912778905,0.6836183063338753,1.0
79,470.0,568.0,512.4239350912779,19.491162709715567,1.8,30.94,36.74,33.39561866125761,0.6819371880005646,1.0
80,470.0,568.0,512.5030425963489,19.400933902741375,1.7666666666666666,30.94,36.74,33.40704868154159,0.6802222393746888,1.0
81,470.0,567.0,511.9771805273834,19.354210807039756,1.7666666666666666,30.29,36.74,33.39591784989858,0.6880665190208773,1.0
82,470.0,564.0,511.93309680689305,18.970367208828193,1.7666666666666666,30.29,36.74,33.39223517486062,0.6863349035544923,1.0
83,470.0,564.0,512.1550937658388,18.767156333598408,1.7666666666666666,30.29,36.74,33.39580841358338,0.6855838170293878,1.0
84,470.0,564.0,512.362392295996,18.718853637312115,1.7666666666666666,30.29,36.74,33.397754688291954,0.6848116637750568,1.0
85,470.0,564.0,511.54688291941204,18.639732058752518,1.7333333333333334,30.29,36.74,33.39922959959453,0.6851257376312764,1.0
86,470.0,564.0,511.2002027369488,18.90327037288839,1.7333333333333334,30.29,36.74,33.40054738976178,0.6840389124026973,1.0
